feature,coefficient,odds_ratio,direction,abs_coefficient
neighbourhood_SÃO CRISTÓVÃO,-0.028422597853610405,0.9719775243812377,Lowers predicted risk,0.028422597853610405
sms_received_label_No SMS,0.02637510455667426,1.02672600585379,Raises predicted risk,0.02637510455667426
diabetes_label_Diabetes,-0.025784661202124325,0.9745449243476432,Lowers predicted risk,0.025784661202124325
neighbourhood_ILHAS OCEÂNICAS DE TRINDADE,0.02529352702883631,1.0256161223993092,Raises predicted risk,0.02529352702883631
appointment_weekday_Monday,-0.023635281820167567,0.9766418438453089,Lowers predicted risk,0.023635281820167567
neighbourhood_GRANDE VITÓRIA,0.022647267004830874,1.0229056633260836,Raises predicted risk,0.022647267004830874
scheduled_weekday_Thursday,-0.02220709513676191,0.9780376672320752,Lowers predicted risk,0.02220709513676191
neighbourhood_SÃO BENEDITO,0.021462609278600282,1.0216945877254895,Raises predicted risk,0.021462609278600282
appointment_weekday_Saturday,0.021258862597739604,1.0214864420496026,Raises predicted risk,0.021258862597739604
appointment_weekday_Tuesday,-0.019884575730347586,0.9803118185524641,Lowers predicted risk,0.019884575730347586
condition_count,-0.019253198985508355,0.9809309600726003,Lowers predicted risk,0.019253198985508355
neighbourhood_PIEDADE,0.016250414329030717,1.0163831704510806,Raises predicted risk,0.016250414329030717
neighbourhood_CONQUISTA,0.015169205246906863,1.0152848416048297,Raises predicted risk,0.015169205246906863
scholarship_label_Scholarship: yes,0.013016591700523321,1.0131016762999772,Raises predicted risk,0.013016591700523321
neighbourhood_ILHA DO FRADE,-0.01211565907131344,0.987957440013703,Lowers predicted risk,0.01211565907131344
neighbourhood_AEROPORTO,-0.01043447128863954,0.9896197789520775,Lowers predicted risk,0.01043447128863954
scheduled_weekday_Friday,0.008130268183021979,1.0081634085659026,Raises predicted risk,0.008130268183021979
neighbourhood_SANTA TEREZA,0.007979855478636926,1.0080117793849215,Raises predicted risk,0.007979855478636926
scheduled_weekday_Wednesday,0.003434687277722725,1.0034405925750849,Raises predicted risk,0.003434687277722725
appointment_weekday_Friday,0.0031310248069480366,1.0031359315848636,Raises predicted risk,0.0031310248069480366
neighbourhood_GOIABEIRAS,0.0029468439933830887,1.002951190206299,Raises predicted risk,0.0029468439933830887
neighbourhood_PARQUE INDUSTRIAL,-0.0022432536159870523,0.9977592605970486,Lowers predicted risk,0.0022432536159870523
neighbourhood_RESISTÊNCIA,0.002176554181824808,1.0021789245953439,Raises predicted risk,0.002176554181824808
scheduled_weekday_Tuesday,0.002173242654698272,1.0021756058581444,Raises predicted risk,0.002173242654698272
neighbourhood_JARDIM CAMBURI,0.0004643128036192518,1.0004644206134943,Raises predicted risk,0.0004643128036192518
