appointment_month,appointments,no_shows,no_show_rate,predicted_no_show_rate,median_wait_days,difference_pp
2016-04,3235,633,0.1956723338485317,0.21683602143517625,3.0,-0.006225947925972697
2016-05,80836,16799,0.20781582463258944,0.20383269972935425,4.0,0.005917542858085045
2016-06,26450,4882,0.18457466918714555,0.1948921666278383,4.0,-0.017323612587358844
